"","section","age","d18c","sz","sz.sd"
"63","Zhaojiachuan",2243,-9.13026365694907,327.803747154323,205.860431015555
"64","Zhaojiachuan",2250,-9.6326158466685,363.643554949516,244.00743010268
"65","Zhaojiachuan",2280.2,-9.15392159066926,327.647870171382,211.176274061465
"66","Zhaojiachuan",2283.8,-9.14559133231717,330.218639331052,215.245409082914
"67","Zhaojiachuan",2350,-9.25588395290004,335.511666156694,216.682657760498
"68","Zhaojiachuan",2361.5,-9.1450915168158,329.14269290844,209.595111836848
"69","Zhaojiachuan",2373,-9.3163089877437,338.324136731871,224.722293407594
"70","Zhaojiachuan",2402.3,-9.13495192964979,324.580703527822,206.656980683941
"71","Zhaojiachuan",2486.45,-9.38736785078925,343.641383188832,229.113122829219
"72","Zhaojiachuan",2517.05,-9.02693675028149,318.759468050007,203.156651261261
"73","Zhaojiachuan",2526.23,-8.6599372703846,294.939158521746,181.820084615929
"74","Zhaojiachuan",2595,-8.77,303.499364072797,187.282703152424
"75","Zhaojiachuan",2606,-8.956,311.468887409474,199.283476193089
"76","Zhaojiachuan",2617,-9.09,325.926415588653,209.284779917048
"77","Fuxian",805.069767441918,-10.0001194170442,392.215824028509,268.746172491634
"78","Fuxian",870.888888888911,-9.07989693476372,324.785427972326,205.130361723061
"79","Fuxian",877.888888888909,-9.301560911337,341.592319973395,219.846908626539
"80","Fuxian",895.777777777795,-9.69380130291893,364.983160886661,246.60568560322
"81","Fuxian",917.115151515167,-11.1821192718054,503.822284810448,385.039826912094
"82","Fuxian",923.103030303044,-10.4281715421997,432.693594322594,300.116181914075
"83","Fuxian",923.793939393953,-9.54816489115012,351.443449100118,229.226948096831
"84","Fuxian",929.551515151528,-8.78707258713905,301.431354085044,194.458214980374
"85","Fuxian",983.454545454647,-9.41019242376888,346.988693028379,227.559940547845
"86","Fuxian",986.363636363738,-9.60046434872913,361.74167894333,244.986699652799
"87","Fuxian",1040.07317073174,-10.1638281120829,408.182099157793,284.378853749493
"88","Fuxian",1043.09756097564,-11.170424056465,507.28734030317,377.78907876025
"89","Fuxian",1121.7625,-9.90316466950821,379.911123489808,258.351953228835
"90","Fuxian",1128.85,-9.57271904077834,354.427364041992,240.456511928008
"91","Fuxian",1133.9125,-9.82056691655293,381.514937029898,261.769939215038
