"","section","age","d13c","d13o","d18c","temp","d13a","d13a.sd","d13s","d13s.sd","R","R.sd","Sz","Sz.sd","co2","co2.sd"
"23","Zhaojiachuan",1372.5,-6.05970488862692,-24.857,-9.98415279781614,17.3,-6.523125,0.41464844547319,-15.7989013490562,0.352761161348027,0.729657376845827,0.0876020829073114,395.990141556582,278.809742867051,287.360765243225,209.56173523745
"24","Zhaojiachuan",1383,-6.11982978001868,-25.567,-9.46520699314351,17.3,-6.213,0.141745076340121,-15.8635225556034,0.354482246626954,0.769382527665607,0.0839487187531005,354.394359751087,237.316795963893,270.614771954158,187.0128096293
"25","Zhaojiachuan",1408.8,-5.79738787009637,-24.642,-9.74028080477296,17.3,-6.46580000000001,0.283196045170126,-15.5484985250623,0.351326501494936,0.749412950322557,0.0874905928605596,371.190813868521,252.218585232528,277.483155104382,194.457153777421
"26","Zhaojiachuan",1412.6,-5.81627979085556,-25.331,-9.36376263730938,17.3,-6.5995,0.240883789408918,-15.5632116530997,0.350704163526885,0.835305882521469,0.0922281231267523,352.825848227982,231.54570580379,293.496517488529,199.262288743644
"27","Zhaojiachuan",1420.2,-6.04720372628174,-24.855,-9.14229868745826,17.3,-6.82619999999999,0.431972221329104,-15.7912420823986,0.354262616751672,0.755146153444187,0.09059269953867,335.575302683391,218.054436721915,252.87130254684,170.818137832909
"28","Zhaojiachuan",1455.4,-5.91294974549623,-24.686,-9.7311416717752,17.3,-6.90280000000001,0.647578824030969,-15.6602392630876,0.350133102101548,0.770056712508356,0.0922920200725763,371.640826799881,258.703032806219,284.69076918957,203.942722470741
"29","Zhaojiachuan",1458.8,-5.99666458648926,-25.543,-9.15431071837236,17.3,-7.20993333333332,0.647578824030969,-15.7506028729363,0.350221463259778,0.879262396252862,0.099335322828721,331.791336967561,214.3005676101,292.461103908086,194.090782846389
"30","Zhaojiachuan",1462.2,-6.05693967194327,-25.007,-9.8277785143616,17.3,-7.0811,0.554158521243395,-15.8038110865875,0.352596869043267,0.794744569244811,0.0931125956683318,375.113421971267,258.744953271709,298.021458023315,210.384257683838
"31","Zhaojiachuan",1469,-5.823,-25.225,-9.606,17.3,-6.34783333333332,0.554158521243395,-15.5740231568269,0.350835699284777,0.799660406897455,0.0878891051322621,363.502153319133,249.829816183745,290.144286334948,204.771041471703
"32","Zhaojiachuan",1501,-6.03299903382549,-25.838,-9.09795274290911,17.3,-6.90883333333333,0.111654228162961,-15.7816235404077,0.35081739721448,0.876956053066881,0.0956951799305127,327.853240439551,216.929343380917,285.337001645612,195.63102313033
"33","Zhaojiachuan",1510,-6.30501902282526,-26.041,-9.51901575829925,17.3,-6.94333333333333,0.355750380651003,-16.0556540341371,0.346080696944957,0.847886089169958,0.089669617915426,356.827351878576,243.655356375836,301.74513552238,212.051452725633
"34","Zhaojiachuan",1537.5,-6.13551674659209,-25.457,-9.44650279640132,17.3,-7.14958333333334,0.529362824535309,-15.8792676151676,0.348831363270607,0.837519007882677,0.0939433494480634,354.024083845419,243.119164899126,295.680904989515,208.523924037465
"35","Zhaojiachuan",1540,-6.48650632595138,-25.575,-9.60032399826855,17.3,-7.335,0.467225855448947,-16.2290063367686,0.351368898801537,0.793932049207154,0.0913946931705478,362.841785349784,249.151650529773,287.213535796084,202.675564794592
"36","Zhaojiachuan",1542.5,-5.9864000048633,-25.288,-8.92836205992603,17.3,-7.135,0.467225855448947,-15.7361205220867,0.350990648903946,0.845511254379695,0.0965815247360285,317.92376429782,202.816952658414,267.208379932055,175.701944429254
"37","Zhaojiachuan",1614.15,-5.86382807600421,-25.538,-9.17863637056769,17.3,-6.03161666666667,0.0901849950564579,-15.6154668575256,0.351632841427214,0.797228518126896,0.0850819191453754,332.713068439829,216.549546613174,264.06898136737,176.075409368944
