age,BWT
2795.5,4.3
2804.0,3.9
2806.5,3.8
2817.9,6.3
2821.0,3.5
2846.4,2.2
2859.9,2.6
2864.1,2.6
2867.9,2.2
2871.1,5.3
2874.4,4.0
2877.6,2.6
2895.2,2.7
2898.5,3.0
2901.9,5.8
2905.9,3.9
2909.4,4.6
2919.1,2.9
2923.5,3.0
2927.3,2.8
2931.9,3.5
2935.4,3.1
2938.5,4.4
2941.1,2.9
2943.9,5.5
2946.9,4.9
2949.8,6.6
2952.5,6.5
2954.5,5.4
2957.0,5.1
2962.7,6.4
2970.2,4.9
2973.8,4.3
2977.3,4.9
2982.0,3.3
2985.7,5.2
2988.9,4.7
2991.9,4.8
2997.1,3.6
3000.8,4.2
3004.4,5.0
3009.0,3.9
3014.0,3.1
3022.5,2.6
3026.5,3.5
3030.4,4.3
3033.6,6.7
3038.0,3.7
3042.6,4.6
3046.2,3.2
3049.8,3.5
3053.8,3.8
3056.4,5.7
3060.2,3.7
3063.1,3.5
3066.5,4.6
3070.2,5.0
3074.1,3.9
3079.2,5.2
3085.9,5.4
3089.5,5.2
3094.4,4.5
3103.9,3.7
3107.0,6.2
3145.5,3.6
3146.7,5.8
3149.6,6.2
3154.1,6.3
