age,SST
361.5,25.1596272
364,25.36202285
365.24,26.51250967
368.41,25.31529155
371.7,26.31141275
375,26.64410747
378.3,26.16502671
381.6,26.48794145
382.26,26.77510769
384.9,26.86894128
388.19,27.2389519
391.49,27.41386515
394.79,27.90918222
396.05,27.48434445
397.32,27.28225251
398.59,27.19264449
399.85,28.47565104
401.12,29.12231174
402.38,29.34817144
403.65,29.30134767
404.88,29.28991129
406.1,29.3148867
407.33,29.07475822
408.8,28.61336569
412.8,28.45178672
416.8,28.86861764
420.8,28.60553225
424.8,28.25534939
428.8,27.0904191
432.8,26.16319662
436.29,26.06670369
437.72,25.6555174
439.15,25.51752791
440.58,25.4914335
442.02,25.82750441
443.45,25.66044922
444.88,25.49768108
446.31,25.54637445
447.74,25.61799732
449.18,25.72159524
450.61,26.0365857
452.04,25.62193682
453.47,25.57251769
454.91,25.46557926
456.34,25.79392754
457.77,25.77730832
459.2,26.09453547
460.64,26.07967742
462.07,26.02528424
463.5,25.24817737
464.93,25.14438103
466.36,25.37072117
467.8,26.22187122
469.23,25.88458784
470.66,25.42101068
472.09,26.10366459
473.53,26.82009872
475.71,28.30386379
477.51,28.74151002
478.06,28.29923368
479.26,28.47979391
482.31,27.88362242
482.53,28.54061394
483.55,28.55543801
484.98,28.96003277
486.42,28.71287563
487.85,28.83057864
489.28,29.47191807
491.47,29.41983294
495.75,29.42950261
500.5,29.57548508
505.25,29.15040344
509.36,28.51887441
510.75,29.32863559
511.5,28.14081816
512.25,27.56755059
513.21,27.68845068
515.08,28.03844895
517.17,28.25746763
519.25,28.70418225
521.33,28.96893663
523.42,29.04943943
525.5,28.95289782
527.58,28.52289829
529.67,29.11375875
531.75,27.96814852
533.83,28.13690505
535.92,27.85985109
538.01,26.48826966
540.18,27.33344671
542.35,26.24811761
544.53,26.49241924
546.71,27.0845058
548.88,27.43993446
551.06,27.50741832
553.24,27.5792245
555.41,27.57416552
557.59,27.96749458
559.76,27.63014044
561.94,27.55597256
564.12,27.87648855
566.29,28.32273229
568.47,28.13050463
570.65,27.66549707
572.82,28.37575889
574.85,29.07128039
576.25,29.01080033
577.5,29.06750607
578.75,28.94588781
582.5,28.78680083
583.75,27.82799713
585.57,27.742031
589.83,28.11561075
594.66,28.46139066
599.49,28.6680111
604.32,29.86683856
609.15,30.09491567
613.62,30.11017849
616.55,29.51998648
619.13,28.92217417
621.7,28.01757567
624.28,28.50207538
626.85,28.34069521
629.43,28.2421891
631.72,27.0578331
632.84,28.22990984
633.68,27.97388591
634.53,27.87793417
635.37,27.72291394
636.21,27.44257349
637.05,27.07405368
637.89,26.79071905
639.58,27.05361698
640.42,27.04599205
641.26,27.17271327
642.11,27.551302
642.95,27.30355615
643.79,27.50130383
644.63,27.71493194
645.47,28.20353342
647.16,28.54009465
648.31,28.40378788
650.8,27.73369689
653.6,27.43293568
656.4,26.99816745
659.2,28.2165853
662,26.77572968
664.77,28.06476115
667.54,28.1221335
670.31,28.98057992
673.08,28.98191149
675.85,28.62533271
678.62,29.34127061
681.38,29.63571825
684.15,29.51620271
686.92,29.06304431
689.69,29.46137491
692.46,29.55946399
695.23,29.90285673
698,29.99077155
705.33,29.52358506
712.67,29.09652165
720,27.21539135
721.1,26.61382497
722.2,26.41453055
723.3,26.20995195
724.4,26.28365437
725.5,27.18278808
726.6,27.44585365
727.7,28.42346181
728.8,28.40707697
729.9,28.63797596
731,28.66616933
732,27.78083878
734,28.05650317
736,27.66342764
738,28.2635256
740,27.35219161
742,26.68863634
744,27.35937196
746,27.15570256
748,27.07768997
750.77,27.08300371
753.54,27.61195284
756.31,27.85269142
759.08,28.0983115
761.85,27.19280723
764.62,27.42402415
