age,GMST
0.589,-2.16
0.59,-1.94
0.591,-2.02
0.592,-2.37
0.593,-2.23
0.594,-1.99
0.595,-1.72
0.596,-1.46
0.597,-1.46
0.598,-1.58
0.599,-1.53
0.6,-1.53
0.601,-1.20
0.602,-1.20
0.603,-1.04
0.604,-1.00
0.605,-0.91
0.606,-0.84
0.607,-0.84
0.608,-1.03
0.609,-1.19
0.61,-1.22
0.611,-1.33
0.612,-1.43
0.613,-1.47
0.614,-1.61
0.615,-1.79
0.616,-2.12
0.617,-2.32
0.618,-2.25
0.619,-2.41
0.62,-2.55
0.621,-2.73
0.622,-3.03
0.623,-3.33
0.624,-3.73
0.625,-4.11
0.626,-4.33
0.627,-4.45
0.628,-4.63
0.629,-4.82
0.63,-4.91
0.631,-4.98
0.632,-4.92
0.633,-4.86
0.634,-4.89
0.635,-4.86
0.636,-4.83
0.637,-4.93
0.638,-4.65
0.639,-4.63
0.64,-4.51
0.641,-4.46
0.642,-4.44
0.643,-4.22
0.644,-4.18
0.645,-3.72
0.646,-4.03
0.647,-4.07
0.648,-4.04
0.649,-4.11
0.65,-4.28
0.651,-4.20
0.652,-4.66
0.653,-4.42
0.654,-4.29
0.655,-4.23
0.656,-3.99
0.657,-4.01
0.658,-4.21
0.659,-4.27
0.66,-4.30
0.661,-4.36
0.662,-4.42
0.663,-4.50
0.664,-4.43
0.665,-4.37
0.666,-4.27
0.667,-4.42
0.668,-4.41
0.669,-4.60
0.67,-4.60
0.671,-4.64
0.672,-4.66
0.673,-4.88
0.674,-4.69
0.675,-4.43
0.676,-4.50
0.677,-4.21
0.678,-4.06
0.679,-3.94
0.68,-3.92
0.681,-3.82
0.682,-3.65
0.683,-3.23
0.684,-3.24
0.685,-3.45
0.686,-3.48
0.687,-2.94
0.688,-2.41
0.689,-1.52
0.69,-1.48
0.691,-1.72
0.692,-1.71
0.693,-1.32
0.694,-2.23
0.695,-2.19
0.696,-2.20
0.697,-2.12
0.698,-1.84
0.699,-1.65
0.7,-1.49
0.701,-1.53
0.702,-1.48
0.703,-1.77
0.704,-1.57
0.705,-1.35
0.706,-1.31
0.707,-1.47
0.708,-1.86
0.709,-2.11
0.71,-2.44
0.711,-2.75
0.712,-3.39
0.713,-3.59
0.714,-3.81
0.715,-4.74
0.716,-4.67
0.717,-4.76
0.718,-4.80
0.719,-4.85
0.72,-4.78
0.721,-4.68
0.722,-4.62
0.723,-4.41
0.724,-4.34
0.725,-4.24
0.726,-4.36
0.727,-4.41
0.728,-4.37
0.729,-4.23
0.73,-4.05
0.731,-3.80
0.732,-3.71
0.733,-3.79
0.734,-3.64
0.735,-3.56
0.736,-3.33
0.737,-3.18
0.738,-3.12
0.739,-3.14
0.74,-3.25
0.741,-3.43
0.742,-3.60
0.743,-3.70
0.744,-3.88
0.745,-4.02
0.746,-4.31
0.747,-4.47
0.748,-4.36
0.749,-4.09
0.75,-3.90
0.751,-3.83
0.752,-3.84
0.753,-3.93
0.754,-3.87
0.755,-3.97
0.756,-3.70
0.757,-4.03
0.758,-3.97
0.759,-4.24
0.76,-3.84
0.761,-3.50
0.762,-3.15
0.763,-3.23
0.764,-3.00
0.765,-3.25
0.766,-3.20
0.767,-3.22
0.768,-3.20
0.769,-3.31
0.77,-3.40
0.771,-3.35
0.772,-3.19
0.773,-3.07
0.774,-2.88
0.775,-2.65
0.776,-2.32
0.777,-2.11
0.778,-1.69
0.779,-2.04
0.78,-1.75
0.781,-1.45
0.782,-1.26
0.783,-1.19
0.784,-1.31
0.785,-1.67
0.786,-2.06
0.787,-2.36
0.788,-2.69
0.789,-3.29
0.79,-3.87
0.791,-4.37
