period,Age,CO2,higher,lower,author
G,1500,292.11,43.25,43.25,dyez
G,1500,288,25,25,Seki
G,1500,254,25,25,Seki
G,1502.33,182.93,21.3,21.3,dyez
G,1505.67,249.08,28.67,28.67,dyez
G,1509,276.63,33.86,33.86,dyez
G,1530,189.11,30.57,25.78,sosdian
G,1535.67,295.54,36.86,36.86,dyez
G,1539,225.68,26.08,26.08,dyez
G,1541.3,227.89,27.05,27.05,dyez
G,1542.3,279.09,33.88,33.88,dyez
G,1574.1,276.96,34.03,34.03,dyez
G,1577.4,215.33,24.95,24.95,dyez
G,1578.88,214.81,16.76,16.76,hoenisch
G,1616,301.08,35.47,35.47,dyez
G,1648.7,198.31,22.99,22.99,dyez
G,1653.01,214.31,16.7,16.7,hoenisch
G,1659.5,192.55,22.71,22.71,dyez
G,1666.79,218.06,17.03,17.03,hoenisch
G,1698.5,290.91,36.13,36.13,dyez
G,1753.1,286.95,35.9,35.9,dyez
G,1820.4,249.66,17.62,16.2,stap
G,1863.78,208.29,16.09,16.09,hoenisch
G,1948.17,190.9,14.63,14.63,hoenisch
G,1955.83,183.73,13.98,13.98,hoenisch
G,2048.19,238.23,18.87,18.87,hoenisch
G,2078.09,228.7,49.27,56.56,Bartoli
G,2078.09,215.4,36.71,36.71,dyez
G,2109,308.46,51.3,51.3,dyez
G,2109,285,25,25,Seki
G,2109,369,25,25,Seki
G,2161.01,204.2,46,52.36,Bartoli
G,2161.01,201.49,34.41,34.41,dyez
G,2166.04,365.6,69.06,81.48,Bartoli
G,2166.04,309.39,53.2,53.2,dyez
G,2201.94,368.8,69.54,82.08,Bartoli
G,2201.94,318.13,54.27,54.27,dyez
G,2350.85,308.16,62.69,45.22,delaVega
G,2352.72,315.04,49.91,49.91,dyez
G,2352.72,305.94,69.28,60.3,mart’nez-bot’
G,2352.72,280.79,38.24,32.74,sosdian
G,2358.08,300.91,56.58,41.36,delaVega
G,2362.22,449.9,109.25,93.14,mart’nez-bot’
G,2362.22,395.87,63.84,54.59,sosdian
G,2372.2,421.38,74.41,74.41,dyez
G,2372.2,414.51,96.21,80.34,mart’nez-bot’
G,2372.2,368.33,52.55,46.35,sosdian
G,2389.32,384.56,60.93,60.93,dyez
G,2389.32,377.05,83.78,72.31,mart’nez-bot’
G,2389.32,338.01,46.51,39.36,sosdian
G,2396.71,372.63,59.24,59.26,delaVega
G,2451.23,328.63,49.66,49.66,dyez
G,2451.23,320.23,71.83,61.9,mart’nez-bot’
G,2451.23,293.88,37.73,33.83,sosdian
G,2517.16,247.63,46.23,35.52,delaVega
G,2521.93,256.19,39.48,39.48,dyez
G,2521.93,245.97,56.27,47.87,mart’nez-bot’
G,2521.93,231.24,28.61,25.82,sosdian
G,2558.58,292.7,58.27,67.97,Bartoli
G,2558.58,242.73,47.33,47.33,dyez
G,2561.9,307.5,47.06,47.06,dyez
G,2561.9,299.51,66.83,58.81,mart’nez-bot’
G,2561.9,279.24,36.33,31.6,sosdian
G,2572.4,303.13,49.34,46.24,delaVega
IG,1.66,261.26,19.99,18.54,sosdian
IG,3.1,259.37,29,29,Henehan
IG,3.6,263.26,30.29,30.29,dyez
IG,3.6,268.38,31.12,31.12,dyez
IG,3.63,283.39,22.96,22.96,hoenisch
IG,3.83,281.5,22.96,22.96,hoenisch
IG,3.9,282.68,40.93,40.93,dyez
IG,3.9,303.07,20,20,Foster
IG,3.91,276.03,46.37,41.82,chalk
IG,3.91,264.56,48.56,48.56,dyez
IG,3.91,273.9,23.53,22.36,sosdian
IG,3.92,282.07,29,29,Henehan
IG,4,274,25,25,Seki
IG,4,294,25,25,Seki
IG,4.6,264,20,20,Foster
IG,4.63,263.95,40.93,36.97,chalk
IG,4.63,253.28,36.91,36.91,dyez
IG,4.63,265.16,29,29,Henehan
IG,4.63,263.06,21.03,19.25,sosdian
IG,5,272,20,20,Foster
IG,5.02,284.34,47.45,42.05,chalk
IG,5.02,273.31,45.95,45.95,dyez
IG,5.02,281.14,23.64,22.57,sosdian
IG,5.03,283.46,29,29,Henehan
IG,5.98,263.8,29,29,Henehan
IG,7.8,264,20,20,Foster
IG,7.8,270,20,20,Foster
IG,7.82,258.24,45.11,38.86,chalk
IG,7.82,269.7,50.5,43.82,chalk
IG,7.82,249.12,46.38,46.38,dyez
IG,7.82,259.89,55.69,55.69,dyez
IG,7.82,263.84,29,29,Henehan
IG,7.82,276.08,29,29,Henehan
IG,7.82,258.56,22.67,21.23,sosdian
IG,7.82,268.58,24.88,22.23,sosdian
IG,8.52,240.18,29,29,Henehan
IG,9.49,267.94,46,41.06,chalk
IG,9.49,259.1,47.65,47.65,dyez
IG,9.49,279.05,29,29,Henehan
IG,9.49,266.08,23.1,21.82,sosdian
IG,9.5,272,20,20,Foster
IG,10.3,259,20,20,Foster
IG,10.32,240.03,47.98,42.09,chalk
IG,10.32,233.01,54.31,54.31,dyez
IG,10.32,253.72,29,29,Henehan
IG,10.32,240.79,22.81,21.49,sosdian
IG,10.54,262.31,29,29,Henehan
IG,11.01,255.2,20.17,20.17,hoenisch
IG,11.65,258.42,46.63,41.23,chalk
IG,11.65,251.75,50.21,50.21,dyez
IG,11.65,272.18,29,29,Henehan
IG,11.65,256.26,22.78,21.64,sosdian
IG,11.7,268,20,20,Foster
IG,12.55,206.34,29,29,Henehan
IG,14,258,20,20,Foster
IG,30.88,253.37,29,29,Henehan
IG,35.82,213.12,38.19,35.12,chalk
IG,35.82,212.35,41.5,41.5,dyez
IG,35.82,214.42,18.77,17.43,sosdian
IG,36.9,240,20,20,Foster
IG,40.8,213.72,23.64,23.64,dyez
IG,40.84,218.4,16.9,16.9,hoenisch
IG,46.61,208.34,37.13,33.89,chalk
IG,46.61,207.1,38.17,38.17,dyez
IG,46.61,210.31,17.71,16.86,sosdian
IG,47.1,235,20,20,Foster
IG,49.41,222.5,16.9,16.9,hoenisch
IG,52.14,198.12,37.86,34.21,chalk
IG,52.14,197.48,42.54,42.54,dyez
IG,52.14,200.68,18.37,16.96,sosdian
IG,52.3,229,20,20,Foster
IG,76.3,247,20,20,Foster
IG,77.3,237.11,44.62,38.44,chalk
IG,77.3,233.58,47.32,47.32,dyez
IG,77.3,236.93,21.44,19.73,sosdian
IG,83,245,20,20,Foster
IG,84.33,238.3,49.46,43.33,chalk
IG,84.33,234.98,58.27,58.27,dyez
IG,84.33,238.18,23.09,21.54,sosdian
IG,85,341,86,57,Pearson
IG,88.1,269,20,20,Foster
IG,89.11,264.46,48.37,41.77,chalk
IG,89.11,260.56,51.77,51.77,dyez
IG,89.11,263.21,23.69,21.81,sosdian
IG,99.6,271,20,20,Foster
IG,100.36,274.78,52.95,47.1,chalk
IG,100.36,270.53,62.07,62.07,dyez
IG,100.36,272.11,26.49,24.54,sosdian
IG,104.5,253,20,20,Foster
IG,106.12,251.54,48,42.03,chalk
IG,106.12,249.31,53.62,53.62,dyez
IG,106.12,250.38,23.26,22.14,sosdian
IG,109.16,277.1,21.59,21.59,hoenisch
IG,111.32,283.11,42.67,38.66,chalk
IG,111.32,294.64,39.17,39.17,dyez
IG,111.32,276.43,26.06,24.78,sosdian
IG,113.57,267.29,21.59,21.59,hoenisch
IG,113.6,260.12,29.48,29.48,dyez
IG,114.2,279,20,20,Foster
IG,116.1,288,20,20,Foster
IG,116.82,312,69.49,57.84,chalk
IG,116.82,303.04,86.11,86.11,dyez
IG,116.82,305.46,33.86,31.22,sosdian
IG,118.81,329.45,73.74,60.46,chalk
IG,118.81,319.5,91.39,91.39,dyez
IG,118.81,320.92,36.9,32.22,sosdian
IG,119.06,303.96,46.91,41.95,chalk
IG,119.06,311.64,46.59,46.59,dyez
IG,119.06,297.43,31.52,28.12,sosdian
IG,119.1,293,20,20,Foster
