age,co2
332.919,298.6
333.38,278.1
333.89,285.8
334.261,278.6
334.748,270.5
335.287,255.7
335.918,241.9
336.725,239.6
337.391,234.2
339.298,250.1
340.456,200.7
341.802,205.2
343.282,204.8
344.446,211.9
345.98,220.3
348.298,221.1
349.688,216.2
350.925,209.4
352.275,209.2
355.302,193
356.898,186.1
358.712,185.8
360.957,201.2
363.385,206.3
366.235,201.9
367.856,199.9
369.446,214.7
371.09,224.6
372.646,229.6
376.568,227
378.096,240
379.696,239.1
381.132,246.8
382.67,245.8
384.534,258.1
385.398,264.6
386.144,259.2
388.062,255.2
389.946,250.1
391.896,266.3
392.544,259.5
393.579,273.6
393.591,274.6
394.56,260.7
395.116,277.1
396.636,278
397.911,288.9
398.086,276.3
399.722,277.1
400.504,283.2
401.109,279.6
402,283.1
402.731,275.7
402.769,281.2
403.609,283.6
404.181,276.5
404.927,280.5
404.968,276.2
406.368,279.6
407.093,285.6
407.442,285.5
408.475,286.9
408.6,284.5
409.383,275.2
409.383,274.2
409.75,277.6
410.206,282.6
411.071,283.5
412.453,274.6
412.962,274.9
413.948,264.9
414.963,271.6
415.167,275.7
415.717,276.4
415.955,276.2
416.193,271.7
416.545,279.9
416.965,268.5
417.191,273.4
417.391,278
417.698,271.8
417.923,276.3
417.979,277.7
418.245,274.6
418.544,276.5
419.013,273.3
419.26,273.7
419.808,271.2
419.934,266.6
420.107,268.9
420.35,273.8
421.443,274
421.484,268.6
422.074,266.4
422.374,276.6
422.374,274.3
422.649,270.6
423.207,273.2
423.491,270.9
423.764,267.7
424.332,268.3
424.604,273.7
424.84,270.8
425.242,270
425.569,265.4
425.678,257.7
425.975,255.3
426.598,252.1
426.953,254.1
427.285,248.2
427.566,242.5
428.394,229.7
429.006,219.7
429.876,227.2
431.063,211.5
431.445,207.6
432.599,209.8
433.674,207.5
433.925,199
434.804,200.3
435.989,201.7
437.152,201.3
437.58,201.5
437.601,207.8
438.356,202
438.986,205.9
439.565,199.1
441.22,201.1
442.411,203.5
443.562,208.1
444.65,201.7
445.829,201.2
446.984,204.9
448.103,201.9
449.244,198.4
450.455,193.3
451.593,192.5
452.283,199.1
452.795,204.3
453.514,203.3
454.023,208.3
455.279,202.4
456.591,195.5
458.049,190.7
459.43,194.4
460.792,199.9
461.687,205.2
462.133,210
463.456,208.1
464.866,204.4
466.265,203.4
467.602,205.5
468.323,206.5
468.81,215.5
469.47,218.7
469.941,229.2
470.597,232.7
471.046,243.7
471.763,243.9
472.095,245.6
473.102,241.2
474.162,233.1
475.218,232.8
476.24,236.6
477.162,239.1
477.719,236.5
478.124,231.3
478.721,220.8
479.144,218.8
480.108,223.8
481.035,223.4
481.932,227.3
482.803,231.4
483.649,231.4
484.465,231.2
485.276,233
486.043,232.9
486.816,231.3
487.541,237.1
488.268,242
488.689,240.9
488.996,252.8
489.475,249.3
489.722,242.6
490.445,243.3
491.191,246.7
491.959,243.7
492.738,239.7
493.507,239.1
494.311,238.3
495.085,238.5
495.853,237.6
496.608,236.4
497.366,236.5
498.104,232.8
498.865,230.6
499.61,230.8
500.363,228.2
501.13,230.8
501.866,231.2
502.625,232
503.375,232.2
504.083,234.1
504.777,233.9
505.516,235.5
506.287,236
507.011,238.2
507.714,237
508.476,240.3
509.247,233.4
510.008,236.4
510.765,235.2
511.515,242
512.269,238.2
512.997,239.2
513.724,241.5
514.429,243
515.113,247.2
515.771,246.2
516.417,245.5
517.069,245.3
517.706,247.7
518.334,245.5
518.965,243.5
520.892,241.9
521.552,236.8
522.216,235.8
522.923,233.7
523.666,230.3
524.409,227.8
525.164,224.7
525.908,222.7
526.661,221.2
527.454,220.3
528.262,220.7
528.747,214.5
529.101,211.4
529.64,204.4
530.016,200
530.685,195.1
531.035,193.8
531.662,190.5
532.119,199.8
533.246,199.4
534.364,205
535.483,206.4
536.622,212.9
537.77,211.2
538.959,205
540.154,203.6
541.345,208.1
542.502,210.3
543.676,209.6
544.804,209.7
545.956,204.6
547.013,202.5
547.573,208.8
547.972,213.6
548.933,215.2
549.83,219.9
550.637,221.7
551.124,222.3
551.452,226.3
551.979,222.1
552.25,220.3
552.961,223.6
553.626,224.3
554.254,226.7
554.831,233.9
555.345,241
555.637,243
555.839,249.1
556.143,244
556.364,250.5
556.724,245.6
556.889,240.4
557.385,238.1
557.887,234.5
558.183,229.7
558.393,230.2
558.929,230.3
559.461,228.3
559.972,231.6
560.459,231.9
560.93,234.6
561.309,234.1
561.846,240.1
562.272,242.3
562.69,245.7
563.115,245.8
563.517,247.6
563.918,251.4
564.311,252.4
564.699,252.6
565.077,251.4
565.466,253.7
565.851,254.3
566.233,253.9
566.619,254.5
567.007,253.2
567.381,253.9
567.777,252.8
568.167,253
568.556,250.2
568.946,251.3
569.331,250
569.728,251.3
570.139,251.8
570.548,251.8
570.955,249.6
571.367,251.6
571.775,250.3
572.19,246.3
572.619,247.7
573.037,249.2
573.462,248.7
573.902,251.8
574.353,251.9
574.803,252.1
575.265,248.9
575.73,252.5
576.222,252.9
576.723,251.3
577.242,251.3
577.769,251.1
578.305,249.1
578.857,252.9
579.435,251.5
579.821,244.1
580.019,243.8
580.4,236.2
580.695,230.3
581.16,225.2
581.507,219.4
582,215.4
582.391,209.9
583.034,206.7
583.413,210.6
586.406,224
586.893,226
587.647,234.4
588.034,238.8
588.716,246.3
589.224,250.2
589.868,248.1
590.335,243.6
590.893,237.4
592.279,225.7
592.697,229.4
593.415,233.2
593.87,238.1
594.639,238
595.189,232.9
595.95,221.2
596.515,216.4
597.443,216.3
597.966,219
598.833,226
599.434,229.4
600.882,232.5
602.278,237.9
603.673,239.1
605.076,244.5
606.374,248.5
607.708,254.6
608.929,259.2
610.136,257.7
611.269,257.8
611.319,259.6
612.514,258
613.709,256
614.923,252.5
616.164,252.6
616.227,252.4
617.544,252.3
618.955,247.9
620.338,245.4
621.76,243
623.109,243.3
623.214,238.6
624.69,237.3
625.57,234.3
626.215,227.8
627.211,214.9
627.999,205
629.446,198.7
630.183,204.4
630.295,199.9
632.001,199.5
632.856,195.6
634.592,192.1
635.364,195
635.489,193.9
636.957,193
638.127,194.3
639.848,187.7
640.76,189.1
642.405,190.2
643.204,190.4
644.662,194.1
645.47,194.6
646.723,188.6
647.588,190.5
648.946,192.1
649.598,194.8
650.891,187.8
651.556,192
652.802,185.8
653.448,185.3
654.473,191.3
655.202,193.2
656.286,198.4
656.882,198.7
657.923,191.3
658.404,187.5
658.474,189.2
659.524,182.4
659.983,185.6
660.084,183.9
660.981,186.6
661.563,192.1
661.65,189.8
662.669,187.8
663.133,192
663.206,189
664.192,189.1
664.597,190.6
664.69,185.8
665.645,178.2
666.174,178.5
666.995,172.7
667.435,178.5
667.569,171.6
668.447,175.6
668.934,178.5
669.751,185.5
670.124,189
670.176,189.3
670.916,192.6
671.286,194.6
671.926,192.5
672.386,194.8
673.095,198.7
673.475,202.3
674.173,209.2
674.521,213.7
675.589,220
676.17,217.4
676.524,214
677.068,215.6
677.38,217.4
677.984,226.5
678.291,230
678.914,230.8
679.252,230.3
679.732,223
680.081,225
680.608,218.4
680.92,216.2
681.531,217.3
681.849,219.7
682.446,222.6
682.762,221.3
683.262,218.7
683.612,217.5
684.142,217.5
684.419,219.4
684.949,219.5
685.217,219.7
685.716,223.5
685.98,224.4
686.425,224.3
686.726,227.3
687.227,228.7
687.47,228.8
687.949,232.3
688.035,234
688.195,233
688.652,235.8
688.751,235.4
688.881,234.9
689.304,235.8
689.444,241
689.603,239.9
690.057,235.6
690.155,235
690.294,234.8
690.771,240
690.999,234
691.432,235.6
691.524,235.9
691.672,236.6
692.057,235.5
692.338,235.9
692.765,232.9
692.857,236.3
692.99,234.8
693.433,234.1
693.639,234.1
694.068,235.4
694.3,234.4
694.672,235.8
694.941,236.9
695.383,236.7
695.618,237.6
696.062,234.6
696.287,234.8
696.717,235.4
696.963,232.9
697.331,232.4
697.66,232.2
698.12,231
698.386,228
698.88,226.4
699.102,227.7
699.633,227.6
699.909,226
700.389,228.7
700.744,227.6
701.242,228.2
701.606,228.8
702.158,229.3
702.381,230.3
702.988,232.4
703.384,232.8
703.934,231.2
704.211,231.2
704.973,233.9
705.41,228.5
706.141,228.6
706.409,228.1
709.68,219.7
710.237,220.2
711.104,218.9
711.421,218.7
712.833,218.5
713.843,222.3
714.288,221.7
715.18,217.7
715.603,223.8
715.75,222.1
716.704,208.1
717.065,205
718.064,192.9
718.581,190.2
718.779,184.3
719.794,187.8
720.337,195.2
721.318,206.3
721.87,217
722.039,211.3
723.133,213.4
723.464,213.2
724.445,210.3
725.059,206.3
725.937,206.6
726.322,208.1
727.192,204.5
727.458,203.7
727.732,205.5
728.568,205.1
728.921,205.4
730.299,204
730.949,204.1
731.329,204.9
732.141,203.8
732.3,210.7
732.548,205.9
733.261,203.9
733.543,204.4
734.223,205.3
734.408,209.6
734.604,207.4
735.167,201.7
735.459,201.3
736.079,204.1
736.46,209.7
737.034,208.1
737.266,211.3
737.889,210.6
738.272,206.5
738.844,200.3
739.137,197.8
739.842,185
739.986,198
740.277,178.9
741.021,178.6
741.307,176.6
742.075,177.9
742.558,182.3
743.233,181.7
743.589,180.4
744.354,181.2
744.681,185.2
744.843,182
745.836,180.2
746.643,183.1
747.11,180.8
747.759,180.8
748.101,180.4
748.913,181.4
749.152,188.8
749.401,182.9
750.194,184.8
750.476,184
751.301,186.2
751.552,193.8
751.83,190.1
752.605,188
752.978,196.5
753.984,191.5
754.124,197.3
754.394,195.8
755.241,200.5
755.354,203.4
755.495,201.9
756.357,206
756.605,214.4
756.871,210.7
757.561,215
757.805,225.5
757.962,219.2
758.259,215.3
758.475,217.6
758.883,217.9
759.027,216.6
759.306,214.9
760.202,208.8
760.338,214.9
760.5,206.9
761.453,206.1
761.745,213
762.064,212
762.871,216
763.158,221.3
763.319,215
763.686,225.7
763.934,221.4
764.249,224.1
764.529,226.5
764.833,222.6
765.735,216.8
765.917,216.1
766.11,215.7
767.096,213.5
767.737,217.7
768.655,222.4
768.94,227.5
769.05,221.4
769.514,228.1
769.787,226
770.133,231.5
770.434,233.9
770.447,235.6
770.724,238.2
770.994,235.6
771.26,237.7
771.708,229.5
771.888,226.9
772.076,230.9
773.043,230
773.353,238.6
773.68,233.3
774.548,236.9
774.854,240.1
775.051,240.5
776.037,238.8
776.322,245.9
776.636,243.9
777.556,246.3
777.719,246.7
777.9,246.1
778.798,245.8
779.076,243.8
779.364,243.9
780.268,248.5
780.612,242.8
781.535,248.7
781.771,251.2
782.059,246.2
783.11,252.5
783.263,252.1
784.147,246.9
784.409,248.4
784.692,250.7
785.413,253.3
785.654,255.3
785.789,255.4
786.587,260.3
786.819,256.6
787.076,256.9
787.805,248.1
787.957,246.4
788.033,247.9
788.887,229.5
789.126,239.3
789.381,226.3
790.153,218.2
790.538,221.3
791.491,215.4
791.767,217.3
792.081,205.1
792.943,204
793.255,224.2
793.26,209
794.608,199.4
794.949,206.7
795.202,195.2
796.467,189.3
797.099,188.4
798.512,191
798.893,193.6
